PID		Action					Type				Time						Allocated space			Entered
56		Memory  deallocation	Deallocation		Tue May 24 18:44:11 2022		144					1
57		Memory  allocation  	Allocation  		Tue May 24 18:44:13 2022		176					1
58		Memory  allocation  	Allocation  		Tue May 24 18:44:32 2022		32					1
57		Memory  deallocation	Deallocation		Tue May 24 18:44:37 2022		176					1
59		Memory  allocation  	Allocation  		Tue May 24 18:44:53 2022		128					1
58		Memory  deallocation	Deallocation		Tue May 24 18:44:57 2022		32					1
60		Memory  allocation  	Allocation  		Tue May 24 18:45:12 2022		48					1
59		Memory  deallocation	Deallocation		Tue May 24 18:45:21 2022		128					1
60		Memory  deallocation	Deallocation		Tue May 24 18:45:26 2022		48					1
61		Memory  allocation  	Allocation  		Tue May 24 18:45:39 2022		48					1
61		Memory  deallocation	Deallocation		Tue May 24 18:45:50 2022		48					1
62		Memory  allocation  	Allocation  		Tue May 24 18:46:03 2022		144					1
62		Memory  deallocation	Deallocation		Tue May 24 18:46:15 2022		144					1
63		Memory  allocation  	Allocation  		Tue May 24 18:46:20 2022		96					1
64		Memory  allocation  	Allocation  		Tue May 24 18:46:42 2022		48					1
63		Memory  deallocation	Deallocation		Tue May 24 18:46:44 2022		96					1
64		Memory  deallocation	Deallocation		Tue May 24 18:46:52 2022		48					1
65		Memory  allocation  	Allocation  		Tue May 24 18:47:05 2022		112					1
65		Memory  deallocation	Deallocation		Tue May 24 18:47:21 2022		112					1
66		Memory  allocation  	Allocation  		Tue May 24 18:47:23 2022		112					1
66		Memory  deallocation	Deallocation		Tue May 24 18:47:34 2022		112					1
67		Memory  allocation  	Allocation  		Tue May 24 18:47:40 2022		128					1
67		Memory  deallocation	Deallocation		Tue May 24 18:48:04 2022		128					1
68		Memory  allocation  	Allocation  		Tue May 24 18:48:06 2022		112					1
69		Memory  allocation  	Allocation  		Tue May 24 18:48:33 2022		144					1
68		Memory  deallocation	Deallocation		Tue May 24 18:48:35 2022		112					1
69		Memory  deallocation	Deallocation		Tue May 24 18:49:00 2022		144					1
70		Memory  allocation  	Allocation  		Tue May 24 18:49:02 2022		192					1
70		Memory  deallocation	Deallocation		Tue May 24 18:49:18 2022		192					1
71		Memory  allocation  	Allocation  		Tue May 24 18:49:20 2022		32					1
72		Memory  allocation  	Allocation  		Tue May 24 18:49:42 2022		112					1
71		Memory  deallocation	Deallocation		Tue May 24 18:49:48 2022		32					1
72		Memory  deallocation	Deallocation		Tue May 24 18:50:00 2022		112					1
73		Memory  allocation  	Allocation  		Tue May 24 18:50:03 2022		144					1
73		Memory  deallocation	Deallocation		Tue May 24 18:50:23 2022		144					1
74		Memory  allocation  	Allocation  		Tue May 24 18:50:27 2022		48					1
75		Memory  allocation  	Allocation  		Tue May 24 18:50:46 2022		96					1
74		Memory  deallocation	Deallocation		Tue May 24 18:50:52 2022		48					1
75		Memory  deallocation	Deallocation		Tue May 24 18:50:57 2022		96					1
76		Memory  allocation  	Allocation  		Tue May 24 18:51:08 2022		160					1
77		Memory  allocation  	Allocation  		Tue May 24 18:51:37 2022		160					1
76		Memory  deallocation	Deallocation		Tue May 24 18:51:37 2022		160					1
77		Memory  deallocation	Deallocation		Tue May 24 18:51:56 2022		160					1
78		Memory  allocation  	Allocation  		Tue May 24 18:52:07 2022		80					1
78		Memory  deallocation	Deallocation		Tue May 24 18:52:34 2022		80					1
79		Memory  allocation  	Allocation  		Tue May 24 18:52:35 2022		16					1
80		Memory  allocation  	Allocation  		Tue May 24 18:52:51 2022		112					1
79		Memory  deallocation	Deallocation		Tue May 24 18:53:03 2022		16					1
81		Memory  allocation  	Allocation  		Tue May 24 18:53:17 2022		48					1
80		Memory  deallocation	Deallocation		Tue May 24 18:53:21 2022		112					1
82		Memory  allocation  	Allocation  		Tue May 24 18:53:32 2022		192					1
81		Memory  deallocation	Deallocation		Tue May 24 18:53:35 2022		48					1
83		Memory  allocation  	Allocation  		Tue May 24 18:53:47 2022		32					1
83		Memory  deallocation	Deallocation		Tue May 24 18:53:58 2022		32					1
82		Memory  deallocation	Deallocation		Tue May 24 18:54:02 2022		192					1
84		Memory  allocation  	Allocation  		Tue May 24 18:54:11 2022		64					1
84		Memory  deallocation	Deallocation		Tue May 24 18:54:24 2022		64					1
85		Memory  allocation  	Allocation  		Tue May 24 18:54:28 2022		96					1
86		Memory  allocation  	Allocation  		Tue May 24 18:54:46 2022		16					1
85		Memory  deallocation	Deallocation		Tue May 24 18:54:52 2022		96					1
